COUNTRY                                 DIVISION_TYPE                    DIVISION                                              ID0    ID1 NC_INDEX
Afghanistan                             Province                         Badakhshan                                              1      1      101
Afghanistan                             Province                         Badghis                                                 1      2      102
Afghanistan                             Province                         Baghlan                                                 1      3      103
Afghanistan                             Province                         Balkh                                                   1      4      104
Afghanistan                             Province                         Bamyan                                                  1      5      105
Afghanistan                             Province                         Daykundi                                                1      6      106
Afghanistan                             Province                         Farah                                                   1      7      107
Afghanistan                             Province                         Faryab                                                  1      8      108
Afghanistan                             Province                         Ghazni                                                  1      9      109
Afghanistan                             Province                         Ghor                                                    1     10      110
Afghanistan                             Province                         Hilmand                                                 1     11      111
Afghanistan                             Province                         Hirat                                                   1     12      112
Afghanistan                             Province                         Jawzjan                                                 1     13      113
Afghanistan                             Province                         Kabul                                                   1     14      114
Afghanistan                             Province                         Kandahar                                                1     15      115
Afghanistan                             Province                         Kapisa                                                  1     16      116
Afghanistan                             Province                         Khost                                                   1     17      117
Afghanistan                             Province                         Kunar                                                   1     18      118
Afghanistan                             Province                         Kunduz                                                  1     19      119
Afghanistan                             Province                         Laghman                                                 1     20      120
Afghanistan                             Province                         Logar                                                   1     21      121
Afghanistan                             Province                         Nangarhar                                               1     22      122
Afghanistan                             Province                         Nimroz                                                  1     23      123
Afghanistan                             Province                         Nuristan                                                1     24      124
Afghanistan                             Province                         Paktika                                                 1     25      125
Afghanistan                             Province                         Paktya                                                  1     26      126
Afghanistan                             Province                         Panjshir                                                1     27      127
Afghanistan                             Province                         Parwan                                                  1     28      128
Afghanistan                             Province                         Samangan                                                1     29      129
Afghanistan                             Province                         Sari Pul                                                1     30      130
Afghanistan                             Province                         Takhar                                                  1     31      131
Afghanistan                             Province                         Uruzgan                                                 1     32      132
Afghanistan                             Province                         Wardak                                                  1     33      133
Afghanistan                             Province                         Zabul                                                   1     34      134
Akrotiri and Dhekelia                   Sovereign Base Area              Akrotiri                                                2      1      201
Akrotiri and Dhekelia                   Sovereign Base Area              Dhekelia                                                2      2      202
Albania                                 County                           Berat                                                   4      1      401
Albania                                 County                           Dibër                                                   4      2      402
Albania                                 County                           Durrës                                                  4      3      403
Albania                                 County                           Elbasan                                                 4      4      404
Albania                                 County                           Fier                                                    4      5      405
Albania                                 County                           Gjirokastër                                             4      6      406
Albania                                 County                           Korçë                                                   4      7      407
Albania                                 County                           Kukës                                                   4      8      408
Albania                                 County                           Lezhë                                                   4      9      409
Albania                                 County                           Shkodër                                                 4     10      410
Albania                                 County                           Tiranë                                                  4     11      411
Albania                                 County                           Vlorë                                                   4     12      412
Algeria                                 Province                         Adrar                                                   5      3      503
Algeria                                 Province                         Alger                                                   5      4      504
Algeria                                 Province                         Annaba                                                  5      5      505
Algeria                                 Province                         Aïn Defla                                               5      1      501
Algeria                                 Province                         Aïn Témouchent                                          5      2      502
Algeria                                 Province                         Batna                                                   5      8      508
Algeria                                 Province                         Biskra                                                  5      9      509
Algeria                                 Province                         Blida                                                   5     10      510
Algeria                                 Province                         Bordj Bou Arréridj                                      5     11      511
Algeria                                 Province                         Bouira                                                  5     12      512
Algeria                                 Province                         Boumerdès                                               5     13      513
Algeria                                 Province                         Béchar                                                  5      6      506
Algeria                                 Province                         Béjaïa                                                  5      7      507
Algeria                                 Province                         Chlef                                                   5     14      514
Algeria                                 Province                         Constantine                                             5     15      515
Algeria                                 Province                         Djelfa                                                  5     16      516
Algeria                                 Province                         El Bayadh                                               5     17      517
Algeria                                 Province                         El Oued                                                 5     18      518
Algeria                                 Province                         El Tarf                                                 5     19      519
Algeria                                 Province                         Ghardaïa                                                5     20      520
Algeria                                 Province                         Guelma                                                  5     21      521
Algeria                                 Province                         Illizi                                                  5     22      522
Algeria                                 Province                         Jijel                                                   5     23      523
Algeria                                 Province                         Khenchela                                               5     24      524
Algeria                                 Province                         Laghouat                                                5     25      525
Algeria                                 Province                         M'Sila                                                  5     26      526
Algeria                                 Province                         Mascara                                                 5     28      528
Algeria                                 Province                         Mila                                                    5     29      529
Algeria                                 Province                         Mostaganem                                              5     30      530
Algeria                                 Province                         Médéa                                                   5     27      527
Algeria                                 Province                         Naâma                                                   5     31      531
Algeria                                 Province                         Oran                                                    5     32      532
Algeria                                 Province                         Ouargla                                                 5     33      533
Algeria                                 Province                         Oum el Bouaghi                                          5     34      534
Algeria                                 Province                         Relizane                                                5     35      535
Algeria                                 Province                         Saïda                                                   5     37      537
Algeria                                 Province                         Sidi Bel Abbès                                          5     38      538
Algeria                                 Province                         Skikda                                                  5     39      539
Algeria                                 Province                         Souk Ahras                                              5     40      540
Algeria                                 Province                         Sétif                                                   5     36      536
Algeria                                 Province                         Tamanghasset                                            5     42      542
Algeria                                 Province                         Tiaret                                                  5     43      543
Algeria                                 Province                         Tindouf                                                 5     44      544
Algeria                                 Province                         Tipaza                                                  5     45      545
Algeria                                 Province                         Tissemsilt                                              5     46      546
Algeria                                 Province                         Tizi Ouzou                                              5     47      547
Algeria                                 Province                         Tlemcen                                                 5     48      548
Algeria                                 Province                         Tébessa                                                 5     41      541
American Samoa                          District                         Eastern                                                 6      1      601
American Samoa                          District                         Manu'a                                                  6      2      602
American Samoa                          District                         Unorganized                                             6      3      603
American Samoa                          District                         Western                                                 6      4      604
Andorra                                 Parish                           Andorra la Vella                                        7      1      701
Andorra                                 Parish                           Canillo                                                 7      2      702
Andorra                                 Parish                           Encamp                                                  7      3      703
Andorra                                 Parish                           Escaldes-Engordany                                      7      4      704
Andorra                                 Parish                           La Massana                                              7      5      705
Andorra                                 Parish                           Ordino                                                  7      6      706
Andorra                                 Parish                           Sant Julià de Lòria                                     7      7      707
Angola                                  Province                         Bengo                                                   8      1      801
Angola                                  Province                         Benguela                                                8      2      802
Angola                                  Province                         Bié                                                     8      3      803
